estado,cod_mun6,municipio,casos_acumulados,pop_pessoa_ano,pop_media,incidencia_media_anual,incidencia_mediana_anual,incidencia_max_anual,anos_com_casos,anos_zero,incidencia_periodo_100mil_pessoa_ano,log_casos_acumulados_mais1,log_inc_periodo_mais1
RJ,330350,NOVA IGUACU,18868,18916375,788182.2916666666,99.86404630762031,94.15970456534751,165.3574767556705,24,0,99.74426918476716,9.845275642787714,4.612585317668204
RJ,330360,PARACAMBI,1190,1053975,43915.625,111.61883362059201,113.61499195368965,244.0370087428911,24,0,112.9059038402239,7.0825485693553,4.735372702649982
RJ,330370,PARAIBA DO SUL,347,981105,40879.375,35.07796660004518,33.02243482821881,62.95105555430652,23,1,35.368283720906526,5.8522024797744745,3.5936970684685194
RJ,330380,PARATY,584,930993,38791.375,60.679815452244036,62.0603297533387,103.88347368653714,24,0,62.7287208389322,6.371611847231857,4.154635337556152
RJ,330385,PATY DO ALFERES,176,656070,27336.25,27.01133256037558,24.164225611902722,51.85480654168328,24,0,26.826405718901945,5.176149732573829,3.3259854158819926
RJ,330390,PETROPOLIS,3073,6937695,289070.625,44.346320139558536,41.32433111849929,77.92361398589722,24,0,44.29425046791477,8.03073492409854,3.8131801031957218
RJ,330395,PINHEIRAL,258,544785,22699.375,47.79099704698546,43.89272225663083,93.61542782250515,24,0,47.35813210716154,5.556828061699537,3.8786344002521163
RJ,330400,PIRAI,343,624241,26010.041666666668,55.03367054762387,54.23795267865497,114.10135347812401,24,0,54.946727305639975,5.840641657373398,4.024399939850357
RJ,330410,PORCIUNCULA,188,414732,17280.5,45.587049811862386,34.79798045982483,118.51015801354401,24,0,45.330478477667505,5.241747015059643,3.8358000269743537
RJ,330411,PORTO REAL,148,409240,17051.666666666668,36.05786942571501,32.62021831598687,65.57377049180327,24,0,36.16459779102727,5.003946305945459,3.6153566358673106
RJ,330412,QUATIS,117,305669,12736.208333333334,39.129367374373594,34.15150080228502,147.67199444058375,24,0,38.2766979968528,4.770684624465665,3.6706314167361764
RJ,330414,QUEIMADOS,2636,3272183,136340.95833333334,81.26755607305833,78.40995382991116,139.9641691726918,23,1,80.55784166105624,7.877397186353287,4.401312482151785
RJ,330415,QUISSAMA,142,473321,19721.708333333332,30.537208793524716,27.3660035908949,65.0110518788194,24,0,30.000781710509358,4.962844630259907,3.4340124206352605
RJ,330420,RESENDE,1283,2899220,120800.83333333333,44.10366705427092,41.17362718785176,77.70684909620398,24,0,44.25328191720532,7.157735484249907,3.81227519607289
RJ,330430,RIO BONITO,714,1316724,54863.5,54.207597185037145,54.71314587968257,92.40173430947473,24,0,54.22548689019111,6.5722825426940075,4.011424565748821
RJ,330440,RIO CLARO,80,413363,17223.458333333332,19.37905093272435,17.224551634794093,50.92225868507412,22,2,19.353449631437744,4.394449154672439,3.013250412580916
RJ,330450,RIO DAS FLORES,32,204954,8539.75,15.730900581774618,11.955448985096641,46.72351360822334,17,7,15.61325956068191,3.4965075614664802,2.810201145232323
RJ,330452,RIO DAS OSTRAS,1448,2594835,108118.125,58.4138890008013,55.90579392704878,87.76654100093751,24,0,55.803162821528154,7.278628942320682,4.039592007654447
RJ,330455,RIO DE JANEIRO,196776,149424025,6226001.041666667,131.82125884488292,129.89395181795388,153.79684043891226,24,0,131.68966637058531,12.18982638685177,4.888013066192824
RJ,330460,SANTA MARIA MADALENA,35,248163,10340.125,14.1071002220185,14.303338631817244,47.94323520951194,14,10,14.103633498950286,3.58351893845611,2.714935343943903
RJ,330470,SANTO ANTONIO DE PADUA,424,975308,40637.833333333336,43.454819117913566,44.48805420634774,88.7423935091278,24,0,43.47344633695202,6.052089168924417,3.7948922995398475
RJ,330475,SAO FRANCISCO DE ITABAPOANA,129,973681,40570.041666666664,13.079931858559208,10.646077622545977,58.01406260877637,22,2,13.248692333526073,4.867534450455582,2.6566651364355507
RJ,330480,SAO FIDELIS,252,963479,40144.958333333336,25.802724810427375,23.913832777274656,74.06461499169966,24,0,26.15521459211877,5.53338948872752,3.301569093945688
RJ,330490,SAO GONCALO,14271,22702586,945941.0833333334,62.99463187859419,60.62154623944934,84.77435856845894,24,0,62.860680276687425,9.566054854819791,4.156703839855758
