estado,cod_mun6,municipio,periodo,casos_total,pop_pessoa_ano,incidencia_media_anual,incidencia_mediana_anual,incidencia_periodo_100mil_pessoa_ano,log_inc_periodo_mais1
RJ,330100,CAMPOS DOS GOYTACAZES,2011–2015,1156,2331163,49.54654655275867,44.976668353291736,49.58898198023905,3.9237338051569015
RJ,330100,CAMPOS DOS GOYTACAZES,2016–2019,1431,1899234,75.31600887032975,77.44053076905044,75.34616587529499,4.335277812660335
RJ,330100,CAMPOS DOS GOYTACAZES,2020–2024,2318,2465102,93.80866677945988,98.40946425579529,94.03262015121483,4.554220202675337
RJ,330110,CANTAGALO,2001–2005,30,62981,47.632909114317044,39.69199015638644,47.633413251615565,3.8843108101413
RJ,330110,CANTAGALO,2006–2010,25,62994,39.68619350569634,31.751071598666456,39.686319331999876,3.705891901593839
RJ,330110,CANTAGALO,2011–2015,41,63443,64.54749087582232,70.59930969563854,64.62493892155163,4.183955790192141
RJ,330110,CANTAGALO,2016–2019,35,51292,68.21673531451182,74.07285592908585,68.23676206815877,4.237531965323134
RJ,330110,CANTAGALO,2020–2024,43,65372,65.70092592428583,46.41089108910891,65.77739705072509,4.201364655779284
RJ,330115,CARDOSO MOREIRA,2001–2005,21,79529,26.563192114167077,31.44060869018424,26.405462158457922,3.3107423423755122
RJ,330115,CARDOSO MOREIRA,2006–2010,6,84926,7.1298784913072115,5.811588307084326,7.064974212844123,2.0875305141565765
RJ,330115,CARDOSO MOREIRA,2011–2015,3,86873,3.458546511342861,0.0,3.4533169108929127,1.4936491917598433
RJ,330115,CARDOSO MOREIRA,2016–2019,9,69145,13.023607891438214,17.355090848067366,13.016125533299588,2.6402084905822654
RJ,330115,CARDOSO MOREIRA,2020–2024,14,86861,16.069226846166192,11.615750958299454,16.11770529927125,2.8401133254724136
RJ,330120,CARMO,2001–2005,37,127707,28.90794555891418,25.848698948819575,28.972570023569578,3.4002826308575007
RJ,330120,CARMO,2006–2010,41,161317,25.69859419595508,24.850122697480817,25.415796227304003,3.2739621731604363
RJ,330120,CARMO,2011–2015,33,188972,17.618455703271614,16.239038648911983,17.462904557288912,2.915763559995972
RJ,330120,CARMO,2016–2019,24,166992,14.31413764609012,13.14586099085691,14.371945961483185,2.7325441573102087
RJ,330120,CARMO,2020–2024,39,231314,17.020618482030425,20.40261153427639,16.86019869095688,2.882574700300071
RJ,330130,CASIMIRO DE ABREU,2001–2005,91,40000,227.9236110657943,198.73307663644266,227.5,5.43153621033426
RJ,330130,CASIMIRO DE ABREU,2006–2010,31,40641,76.32622581097453,74.28500680945896,76.27765064836004,4.347404788929218
RJ,330130,CASIMIRO DE ABREU,2011–2015,38,41585,91.47684857091653,96.188529517855,91.37910304196225,4.525900795515641
RJ,330130,CASIMIRO DE ABREU,2016–2019,46,34106,134.89455651177164,123.1054176232958,134.87362927344162,4.911725257246544
RJ,330130,CASIMIRO DE ABREU,2020–2024,67,44020,151.2336333223037,191.1615877656584,152.20354384370742,5.03176738917803
RJ,330140,CONCEICAO DE MACABU,2001–2005,74,97414,76.4496275127477,82.13552361396303,75.96444042950705,4.343343502581597
RJ,330140,CONCEICAO DE MACABU,2006–2010,18,103522,17.333373668951417,14.14360473339305,17.387608431058133,2.911676982908572
RJ,330140,CONCEICAO DE MACABU,2011–2015,41,105920,38.701254681531566,37.78040141676505,38.70845921450151,3.6815642434460756
