id,name,description,cod_mun6,municipio_geo,estado,municipio,casos_acumulados,pop_pessoa_ano,pop_media,incidencia_media_anual,incidencia_mediana_anual,incidencia_max_anual,anos_com_casos,anos_zero,incidencia_periodo_100mil_pessoa_ano,log_casos_acumulados_mais1,log_inc_periodo_mais1,gi_z,gi_p,classe_gi,estado_analise,contexto_analise,variavel_analise
3514205,Dolcinópolis,Dolcinópolis,351420,DOLCINOPOLIS,SP,DOLCINOPOLIS,6,51557,2148.2083333333335,11.737023381558286,0.0,47.70992366412214,6,18,11.637604980894933,1.9459101490553132,2.5366768914056514,-0.2499664192084833,0.319,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3514304,Dourado,Dourado,351430,DOURADO,SP,DOURADO,13,202345,8431.041666666666,6.4337539155848225,5.807875479149727,23.236900197513652,12,12,6.424670735624799,2.6390573296152584,2.004808338335081,-0.23104044841752477,0.289,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3514403,Dracena,Dracena,351440,DRACENA,SP,DRACENA,683,1046137,43589.041666666664,64.92628138129719,66.1171235790914,136.39514343849922,24,0,65.28781603174345,6.52795791762255,4.194006110043714,0.46253534604748997,0.096,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3514502,Duartina,Duartina,351450,DUARTINA,SP,DUARTINA,60,295982,12332.583333333334,20.29426498133447,16.21534354862289,65.03007641033977,20,4,20.271502996803857,4.110873864173311,3.0573682894708862,-0.1807909151057294,0.372,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3514601,Dumont,Dumont,351460,DUMONT,SP,DUMONT,18,198244,8260.166666666666,8.591559370826063,0.0,32.07526996685556,9,15,9.079719941082706,2.9444389791664403,2.3105254786345033,-0.22568126131957278,0.382,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3514700,Echaporã,Echaporã,351470,ECHAPORA,SP,ECHAPORA,19,153064,6377.666666666667,12.373047794844089,0.0,46.3893613731251,11,13,12.413108242303872,2.995732273553991,2.596232455842202,-0.20748555213618208,0.303,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3514809,Eldorado,Eldorado,351480,ELDORADO,SP,ELDORADO,122,335685,13986.875,36.81759306243697,31.93144904209808,99.47203305532176,24,0,36.343595930708844,4.812184355372417,3.620161435852506,-0.02506141130301779,0.365,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3514908,Elias Fausto,Elias Fausto,351490,ELIAS FAUSTO,SP,ELIAS FAUSTO,61,386646,16110.25,15.601265873981385,13.342613890238656,39.10614525139665,20,4,15.776705306662942,4.127134385045092,2.8199913353161716,-0.10591235783842269,0.413,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3514924,Elisiário,Elisiário,351492,ELISIARIO,SP,ELISIARIO,4,72577,3024.0416666666665,5.318007205752618,0.0,32.66906239790918,4,20,5.511387905259242,1.6094379124341003,1.87355262938982,-0.36753701604563266,0.012,Cold spot,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3514957,Embaúba,Embaúba,351495,EMBAUBA,SP,EMBAUBA,3,57588,2399.5,5.145534036487522,0.0,41.85851820845542,3,21,5.209418628881017,1.3862943611198906,1.82606727302522,-0.375903671412974,0.008,Cold spot,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3515004,Embu,Embu,351500,EMBU,SP,EMBU DAS ARTES,2631,5716443,238185.125,45.731443880841205,45.24038237090866,74.03893985492995,24,0,46.02512436492413,7.875499292445208,3.850682019839081,0.22711307351264706,0.151,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3515103,Embu-Guaçu,Embu-Guaçu,351510,EMBU-GUACU,SP,EMBU-GUACU,662,1517828,63242.833333333336,43.30524928093172,44.21283036651488,62.028967527835505,24,0,43.61495505419586,6.4967749901858625,3.7980691179369677,0.16739868534472985,0.177,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
