estado,cod_mun6,municipio,casos_acumulados,pop_pessoa_ano,pop_media,incidencia_media_anual,incidencia_mediana_anual,incidencia_max_anual,anos_com_casos,anos_zero,incidencia_periodo_100mil_pessoa_ano,log_casos_acumulados_mais1,log_inc_periodo_mais1,inc_raw,inc_eb_global,inc_eb_spatial,reducao_%
SP,351230,CONCHAS,133,375757,15656.541666666666,35.473021706804964,29.3112068644351,82.69720101781171,24,0,35.39521552492701,4.897839799950911,3.594437324380604,35.39521552492701,35.55924658132141,36.92010586442838,4.308182100000119
SP,352710,LINS,602,1720562,71690.08333333333,34.93565182354784,36.12213510236271,51.79751371934147,24,0,34.98856768892954,6.401917196727186,3.5832013238255214,34.98856768892954,35.02593421801753,34.99820193934074,0.027535423847156276
SP,352965,MESOPOLIS,16,46073,1919.7083333333333,34.710691465376264,0.0,158.144438587243,10,14,34.72749766674625,2.833213344056216,3.5759206350668693,34.72749766674625,36.01592674562791,27.597802212257196,-20.530403667167143
SP,351220,CONCHAL,215,619283,25803.45833333333,34.92170124948794,29.250809844009183,64.09999599375026,24,0,34.71756854297632,5.375278407684165,3.5756426837859587,34.717568542976316,34.82301606001043,33.210256880268204,-4.341639481008687
SP,355475,TRABIJU,13,37519,1563.2916666666667,34.40422353921036,0.0,178.359096313912,11,13,34.64911111703403,2.6390573296152584,3.573724212945924,34.64911111703403,36.206056827449586,28.496896684934086,-17.755764098304454
SP,355700,VOTORANTIM,931,2718865,113286.04166666669,34.129037935055685,35.35727280768787,48.32659573652033,24,0,34.24222975395983,6.837332814685591,3.562245072447683,34.24222975395983,34.26726564086752,34.29283665375625,0.14779090076796547
SP,354020,PONTAL,306,894233,37259.708333333336,33.88440172973758,27.933239469004512,71.07133456172677,24,0,34.21926947451056,5.726847747587197,3.561593361073008,34.21926947451056,34.295233937232744,33.845846507903524,-1.0912651624114742
SP,352670,LEME,744,2210224,92092.66666666669,33.9414467882746,31.696562137646296,52.948028568402975,24,0,33.661746501712045,6.61338421837956,3.545636672565325,33.661746501712045,33.693835816041755,33.29777056047341,-1.0812746784250291
SP,354530,SALTO DE PIRAPORA,332,986682,41111.75,34.12821287055491,31.45930779862941,63.995904262127226,24,0,33.6481257385865,5.808142489980444,3.545243632934444,33.6481257385865,33.719876216762636,33.810594407831935,0.48284611900127694
SP,352840,MAIRINQUE,364,1081818,45075.75,32.92385718631126,30.43310766687481,85.17228029423151,24,0,33.64706447849823,5.899897353582492,3.5452130028117748,33.64706447849823,33.712538930850926,33.79453269624144,0.4382795944574836
